"","EvaluatorID","SubjectID","Relationship","ResponseID","StartDate","EndDate","Comm_scale","DM_scale","Dipl_scale","EI_scale","Infl_scale","Cult_scale","TW_scale","Giver_1","Giver_2","Giver_5","Giver_3","Giver_10","Matcher_1","Matcher_2","Matcher_3","Matcher_4","Taker_3","Taker_4","Taker_6","Taker_8","GritPas_22","GritPas_2","GritPas_4","GritPas_23","GritPas_26","GritPas_28","GritPas_27","GritPer_13","GritPer_14","GritPer_18","GritPer_19","GritPer_20","HumRec_13","HumMot_5","HumRec_10","HumMot_13","HumMot_6","HumRec_14","HumRec_12","HumMot_4","HumMot_9","HumRec_9","HumExp_1","HumExp_2","HumExp_3","HumExp_4","HumExp_5","HumExp_6","HumExp_7","HumExp_8","HumExp_9","HumExp_10","Comm_1","Comm_2","Comm_3","Comm_4","Comm_5","Comm_6","Comm_7","Comm_8","Comm_9","Comm_10","Comm_11","Comm_12","Comm_13","Comm_14","Cult_1","Cult_2","Cult_3","Cult_4","Cult_5","Cult_6","Cult_7","Cult_8","Cult_9","Cult_10","Cult_11","Dipl_1","Dipl_2","Dipl_3","Dipl_4","Dipl_5","Dipl_6","Dipl_7","Dipl_8","Dipl_9","Dipl_10","Dipl_11","Dipl_12","EI_1","EI_2","EI_3","EI_4","EI_5","EI_6","EI_7","EI_8","EI_9","EI_10","EI_11","DM_1","DM_2","DM_3","DM_4","DM_5","DM_6","DM_7","DM_8","DM_9","DM_10","DM_11","DM_12","DM_13","DM_14","Infl_1","Infl_2","Infl_3","Infl_4","Infl_5","Infl_6","Infl_7","Infl_8","Infl_9","TW_1","TW_2","TW_3","TW_4","TW_5","TW_6","TW_7","TW_8","TW_9","TW_10","TW_11","TW_12","TW_13","TW_14","TW_15","TW_16","TW_17","TW_18","TW_19","Perf_1","Perf_2","Perf_3","Perf_4","Perf_5","year","class","GritPer_scale","GritPas_scale","Giver_scale","Matcher_scale","Taker_scale","HumMot_scale","HumRec_scale","HumExp_scale","avg_perf","self_dummy","year_2019","year_2020","class_2021","class_2022","n_raters"
"390","P_0NuEF3P7PjRPi4t","P_1TgHtu8MZjz78oJ","Manager","R_24ItAUvZwQNkNmT","9/24/20 10:27","9/24/20 10:55",6.166666667,5.625,5.571428571,5.75,5.714285714,6.142857143,6.230769231,7,6,7,6,6,3,6,4,2,3,4,2,1,6,5,6,2,4,5,7,6,5,6,6,5,4,6,2,7,7,6,6,6,5,6,5,5,5,6,6,7,4,6,5,5,5,5,7,6,6,6,6,7,NA,NA,7,6,7,6,NA,NA,6,5,NA,6,7,NA,7,6,6,NA,NA,NA,NA,NA,4,5,5,6,6,7,6,NA,6,5,6,NA,5,NA,6,6,6,6,NA,5,NA,NA,7,NA,NA,4,NA,6,6,6,6,5,6,7,NA,5,NA,6,6,5,5,6,NA,6,NA,NA,NA,NA,NA,7,6,6,6,7,6,7,4,6,7,7,72,72,90,73,73,"2020","2022",5.6,5,6.4,3.75,2.5,6.2,4.8,5.4,76,0,0,1,0,1,9
"391","P_3E4LhJkl4lQjk0t","P_1TgHtu8MZjz78oJ","Manager","R_zdrjFBFKbPdaRnH","9/14/20 9:01","9/24/20 12:20",6.166666667,5.555555556,5.375,6.5,6.142857143,5.625,6.769230769,6,6,7,7,7,3,5,2,3,3,3,3,2,6,4,4,3,5,5,6,7,7,6,7,6,7,7,5,6,7,7,7,6,7,7,7,7,6,6,7,7,5,7,6,5,5,5,7,6,7,6,7,6,NA,NA,6,6,6,7,NA,NA,5,5,NA,6,6,5,7,6,5,NA,NA,NA,NA,4,5,5,5,6,6,6,6,NA,7,6,6,NA,7,NA,6,6,7,7,NA,5,NA,NA,4,NA,NA,5,6,6,6,6,6,6,7,7,NA,5,NA,6,6,6,6,6,NA,7,NA,NA,NA,NA,NA,7,7,7,6,7,7,7,7,7,6,7,75,90,90,75,81,"2020","2022",6.6,4.71428571428571,6.6,3.25,2.75,6.6,6.6,6.3,82.2,0,0,1,0,1,9
"392","P_1OocnlvMWgCbZD7","P_1TgHtu8MZjz78oJ","DirectReport","R_3RyL4RtXdzrdJET","9/24/20 16:32","9/24/20 16:53",7,7,6.875,7,7,7,6.923076923,7,6,6,6,6,2,6,7,1,3,3,2,7,6,6,7,3,5,6,6,7,5,7,7,6,3,6,3,6,7,6,7,6,7,6,2,4,4,7,6,7,4,NA,4,4,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,NA,NA,7,7,NA,7,7,7,7,7,7,NA,NA,NA,NA,7,6,7,7,7,7,7,7,NA,7,7,7,NA,7,NA,7,7,7,7,NA,7,NA,NA,7,NA,NA,7,7,7,7,7,7,7,7,7,NA,7,NA,7,7,7,7,7,NA,7,NA,NA,NA,NA,NA,7,7,7,6,7,7,7,7,7,7,7,90,90,95,90,90,"2020","2022",6.4,5.57142857142857,6.2,4,3.75,6.4,5,4.66666666666667,91,0,0,1,0,1,9
"393","P_23KdntXrK95asnj","P_1TgHtu8MZjz78oJ","Manager","R_1DAK4OAXpRJQS6Q","10/1/20 13:50","10/1/20 14:09",6.454545455,6.285714286,6.333333333,5.571428571,6.333333333,5.857142857,6,7,7,6,6,6,4,4,1,1,4,4,2,2,6,5,5,3,5,2,6,7,7,6,7,6,6,7,7,6,7,7,7,6,6,7,5,7,6,6,7,7,6,7,3,4,5,NA,7,7,7,5,7,6,NA,NA,7,6,7,7,NA,NA,6,4,NA,6,6,NA,7,5,7,NA,NA,NA,NA,NA,6,6,NA,6,7,7,6,NA,6,4,7,NA,5,NA,5,5,NA,7,NA,6,NA,NA,NA,NA,NA,6,6,6,7,7,NA,6,6,7,NA,NA,NA,7,6,6,6,5,NA,7,NA,NA,NA,NA,NA,6,6,6,5,7,6,5,5,6,7,7,84,100,100,89,85,"2020","2022",6.6,4.57142857142857,6.4,2.5,3,6.4,6.8,5.8,91.6,0,0,1,0,1,9
"394","P_5bFrIlsljh6gQcZ","P_1TgHtu8MZjz78oJ","Manager","R_0rlE48c7t6FOIEh","9/14/20 8:02","10/1/20 14:40",7,6.222222222,5.25,6.25,5.714285714,5.5,5.846153846,7,5,7,7,7,4,4,2,4,4,6,1,7,7,5,4,3,5,2,6,7,5,6,6,4,4,7,4,5,7,7,7,7,7,7,5,6,7,7,7,7,5,6,6,4,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,NA,NA,6,5,NA,6,5,6,6,5,5,NA,NA,NA,NA,4,3,5,5,7,7,6,5,NA,6,7,7,NA,6,NA,7,6,5,6,NA,7,NA,NA,6,NA,NA,5,7,7,6,7,7,4,5,6,NA,6,NA,7,6,5,5,5,NA,7,NA,NA,NA,NA,NA,3,7,4,5,7,5,6,6,7,7,7,68,69,85,77,84,"2020","2022",5.6,4.57142857142857,6.6,3.5,4.5,6.6,5.8,6,76.6,0,0,1,0,1,9
"395","P_1WVBeT3meQik0a9","P_1WVBeT3meQik0a9","Self","R_3kb0entpXyauN3u","9/26/20 19:20","9/26/20 19:39",6.166666667,6.111111111,5.75,5,5.571428571,6,6.307692308,7,5,7,3,4,6,6,6,3,6,6,6,4,3,4,3,4,5,5,4,6,4,6,5,5,4,5,2,6,6,7,3,5,5,4,3,6,4,5,5,6,7,6,7,5,6,7,7,6,7,6,7,7,NA,NA,5,7,4,5,NA,NA,6,7,NA,6,6,6,5,6,6,NA,NA,NA,NA,6,5,6,6,6,5,6,6,NA,4,5,5,NA,5,NA,6,5,5,5,NA,5,NA,NA,7,NA,NA,7,7,5,7,7,5,5,6,4,NA,6,NA,6,6,6,5,6,NA,6,NA,NA,NA,NA,NA,6,6,6,6,7,6,6,7,6,7,7,90,76,76,90,85,"2020","2022",5.2,4,5.2,5.25,5.5,5.4,4,5.4,83.4,1,0,1,0,1,2
"396","P_9MN4xzW7cUHTF3v","P_1WVBeT3meQik0a9","DirectReport","R_QmK70jL25KhZqP7","9/16/20 23:07","9/16/20 23:47",5.583333333,6.833333333,6.25,4.75,3.833333333,NA,5.615384615,5,4,5,3,4,4,4,6,5,6,5,5,4,5,7,6,5,4,6,5,6,4,4,6,6,4,5,4,4,6,5,4,6,6,4,4,4,4,4,4,5,4,4,4,4,6,6,7,7,3,5,5,7,NA,NA,4,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,7,3,6,7,NA,4,3,5,NA,7,NA,5,6,3,5,NA,NA,NA,NA,7,NA,NA,7,7,7,7,6,NA,NA,NA,3,NA,6,NA,3,3,3,5,4,NA,6,NA,NA,NA,NA,NA,5,6,6,7,7,6,5,6,4,5,6,90,60,90,100,90,"2020","2022",5.2,5.42857142857143,4.2,4.75,5,5.4,4.2,4.1,86,0,0,1,0,1,2
"397","P_bJDLHTEWtwsQ5Lv","P_1WVBeT3meQik0a9","Peer","R_1CduTGZEMqgl392","9/23/20 1:49","9/23/20 2:14",5.166666667,4.777777778,5,5.5,5.571428571,5.75,5.75,4,5,4,4,5,4,4,5,5,4,3,5,3,3,4,5,3,2,3,4,4,4,5,5,4,3,3,4,4,3,5,5,4,6,5,3,4,3,5,6,3,3,3,4,3,5,5,6,4,6,6,5,5,NA,NA,5,6,4,5,NA,NA,5,5,NA,6,6,6,6,6,6,NA,NA,NA,NA,5,4,6,5,5,5,5,5,NA,6,5,5,NA,6,NA,5,6,5,6,NA,3,NA,NA,4,NA,NA,5,6,5,6,5,4,5,6,6,NA,6,NA,5,6,5,5,6,NA,6,NA,NA,NA,NA,NA,NA,NA,6,NA,6,NA,NA,5,6,5,6,41,45,69,47,53,"2020","2022",4.4,3.42857142857143,4.4,4.5,3.75,4,4.4,3.7,51,0,0,1,0,1,2
"398","P_1Y2Jwf8Qz4Aunc1","P_1Y2Jwf8Qz4Aunc1","Self","R_2scIfrr2J8lLiJe","9/19/20 23:06","9/28/20 20:07",5.909090909,6.125,4.25,4.571428571,5.5,4.666666667,5.1,7,5,6,4,6,6,5,6,3,5,6,6,3,2,4,2,6,6,4,2,4,4,7,3,6,3,3,2,3,4,6,5,5,6,3,2,2,2,5,2,3,5,4,5,4,6,6,6,7,5,7,6,5,5,6,6,NA,NA,NA,4,4,6,7,5,2,NA,NA,NA,NA,NA,NA,3,6,5,NA,3,NA,NA,NA,NA,NA,NA,3,5,4,6,4,3,7,NA,NA,NA,NA,5,6,7,7,7,5,6,6,NA,NA,NA,NA,NA,NA,6,7,5,NA,5,4,6,NA,NA,7,6,6,5,5,5,6,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,70,100,80,85,"2020","2021",4.8,3.71428571428571,5.6,5,5,4.2,3.8,3.4,85,1,0,1,1,0,6
"399","P_bCpFD465CRws8hn","P_1Y2Jwf8Qz4Aunc1","Fellow Student","R_8e4y92pfcmHqM8x","9/21/20 15:17","9/21/20 15:32",7,7,7,7,7,7,7,6,7,7,6,7,4,4,4,6,4,6,3,7,6,6,3,6,6,6,6,3,5,6,3,6,6,6,6,6,7,6,6,6,7,6,6,6,7,6,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,70,100,44,80,"2020","2021",4.6,5.57142857142857,6.6,4.5,5,6.4,6,6.4,71.4,0,0,1,1,0,6
"400","P_2aZTS2rjowfenPv","P_1Y2Jwf8Qz4Aunc1","Fellow Student","R_1rkViuXheWpKSQB","9/28/20 20:30","9/28/20 21:15",6.545454545,5.875,6.4,5.714285714,5.5,6.5,5.444444444,4,4,6,6,5,5,6,4,4,6,6,2,1,3,6,4,2,2,3,5,7,6,5,5,6,6,6,4,7,5,6,7,6,7,6,3,4,5,5,2,5,4,6,5,4,6,6,6,6,7,7,7,6,7,7,7,NA,NA,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,NA,7,NA,NA,NA,NA,NA,NA,6,6,4,6,6,5,7,NA,NA,NA,NA,6,6,5,6,5,6,6,7,NA,NA,NA,NA,NA,NA,4,6,6,NA,5,6,6,NA,NA,NA,5,7,6,3,4,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,82,95,91,88,"2020","2021",5.8,3.57142857142857,5,4.75,3.75,6.2,5.8,4.3,89.2,0,0,1,1,0,6
"401","P_73BEg6s2GSzhJQx","P_1Y2Jwf8Qz4Aunc1","Peer","R_3R3DHkWn1nYqN96","9/20/20 17:04","9/20/20 18:33",6.818181818,5.5,6.166666667,3.666666667,5.857142857,6,6.2,6,4,6,4,4,4,4,5,4,4,5,5,4,4,4,4,5,4,6,4,7,6,3,6,3,4,6,4,4,4,4,6,6,6,4,4,6,6,6,3,4,4,4,4,4,7,7,6,6,7,7,7,7,7,7,7,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,7,6,5,6,6,7,NA,NA,NA,NA,NA,NA,NA,5,3,3,3,3,5,NA,NA,NA,NA,6,6,7,6,3,5,5,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,5,6,NA,NA,6,6,6,7,5,6,7,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,92,86,94,93,"2020","2021",5,4.42857142857143,4.8,4.25,4.5,5.2,4.4,4.5,89.8,0,0,1,1,0,6
"402","P_8eTLMJ4Secz2y0J","P_1Y2Jwf8Qz4Aunc1","Fellow Student","R_2B8NGnsyrbOML97","9/28/20 9:08","9/28/20 9:17",7,6.666666667,NA,2,6,7,6.75,4,4,6,4,6,4,4,4,4,6,4,4,1,4,4,4,2,2,4,4,4,6,4,4,4,5,4,4,6,6,4,6,4,7,6,4,4,4,4,4,4,4,4,4,4,NA,NA,7,7,7,NA,7,7,7,7,7,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,7,7,7,NA,7,6,7,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,95,90,85,"2020","2021",4.4,3.42857142857143,4.8,4,3.75,5.4,5,4,86,0,0,1,1,0,6
"403","P_03wdStt59hNFUmV","P_1Y2Jwf8Qz4Aunc1","Fellow Student","R_urdZNPWLFoOle49","9/22/20 18:25","9/22/20 18:38",5.272727273,5.75,5.666666667,5.285714286,5.571428571,5.166666667,6.3,5,3,6,3,4,6,5,6,5,5,5,6,6,6,5,5,5,5,5,6,6,5,6,6,6,5,5,6,5,3,5,5,6,6,6,3,2,4,4,2,5,5,3,5,4,6,6,5,5,6,5,5,5,5,5,5,NA,NA,NA,6,3,6,5,4,7,NA,NA,NA,NA,NA,7,6,6,5,5,5,NA,NA,NA,NA,NA,NA,6,5,5,5,5,6,5,NA,NA,NA,NA,6,6,7,7,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,7,6,6,NA,NA,7,7,5,5,7,7,6,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,86,72,86,86,"2020","2021",5.8,5.28571428571429,4.2,5.5,5.5,5,5.4,3.7,83.2,0,0,1,1,0,6
"404","P_5aSkUbnRLFJ1eo5","P_1Y2Jwf8Qz4Aunc1","Manager","R_11cngchVpCm9NBn","9/27/20 13:43","9/27/20 14:17",6.272727273,5.875,5.5,5.714285714,5.714285714,5.666666667,6.2,7,5,6,6,5,2,3,2,2,2,3,2,2,6,4,5,1,5,5,6,6,5,6,6,4,6,5,5,5,6,6,6,7,6,7,6,6,7,7,7,6,5,6,6,5,5,6,6,6,7,6,7,7,6,7,6,NA,NA,NA,6,5,6,5,6,6,NA,NA,NA,NA,NA,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,6,5,6,6,5,7,5,NA,NA,NA,NA,5,6,6,7,5,6,6,6,NA,NA,NA,NA,NA,NA,6,5,7,5,5,6,6,NA,NA,6,5,7,7,6,6,7,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,80,91,88,88,"2020","2021",5.4,4.57142857142857,5.8,2.25,2.25,5.8,6,6.1,87.4,0,0,1,1,0,6
"405","P_1Y7SseCxK6omF4F","P_1Y7SseCxK6omF4F","Self","R_cNIIVPWYfFI1w6B","9/8/20 15:14","9/8/20 15:38",4.636363636,5.5,5,3.857142857,5.142857143,4.166666667,5.1,7,7,7,7,7,5,7,6,2,1,1,1,6,6,1,2,5,5,5,5,7,3,7,6,6,5,7,7,7,7,7,7,6,6,6,3,6,3,4,6,7,6,7,6,7,3,6,7,3,5,5,3,3,3,7,6,NA,NA,NA,6,3,5,3,5,3,NA,NA,NA,NA,NA,5,7,5,6,4,3,NA,NA,NA,NA,NA,NA,5,3,3,4,3,5,4,NA,NA,NA,NA,5,7,5,6,5,5,6,5,NA,NA,NA,NA,NA,NA,5,7,7,5,4,4,4,NA,NA,6,3,7,7,3,3,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,91,61,NA,"2020","2021",5.8,4.14285714285714,7,5,2.25,6.6,6.4,5.5,57,1,0,1,1,0,6
"406","P_7a3WxHh13AkLYKV","P_1Y7SseCxK6omF4F","Peer","R_3Hi4NKgpJXoNVEC","9/14/20 12:16","9/14/20 12:35",5.7,6.142857143,6,5.714285714,5.8,6,5.875,5,5,6,6,6,2,5,6,2,4,4,3,2,6,5,5,2,5,4,5,6,6,5,5,6,5,2,4,5,6,5,5,6,6,5,5,5,2,5,6,6,5,5,5,5,5,6,6,6,NA,5,6,5,6,6,6,NA,NA,NA,6,6,6,5,7,6,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,6,5,6,6,NA,NA,NA,NA,7,6,6,7,5,6,NA,6,NA,NA,NA,NA,NA,NA,6,6,6,NA,6,5,NA,NA,NA,6,7,6,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,78,75,78,76,"2020","2021",5.6,4.57142857142857,5.6,3.75,3.25,5,4.8,4.9,75.8,0,0,1,1,0,6
"407","P_77G7gYhv505Pfh3","P_1Y7SseCxK6omF4F","Peer","R_3NP6VOPIqykdjvb","9/28/20 11:06","9/28/20 11:23",5.909090909,5.375,4.833333333,6.142857143,5.857142857,5.833333333,5.6,6,6,5,6,5,3,6,4,3,2,2,1,3,6,4,4,3,4,3,4,6,3,5,6,4,4,5,4,5,4,6,4,5,4,5,2,5,4,5,5,5,4,4,4,3,6,6,6,6,6,6,6,6,6,6,5,NA,NA,NA,6,6,5,6,6,6,NA,NA,NA,NA,NA,4,6,6,4,6,3,NA,NA,NA,NA,NA,NA,6,7,5,6,6,7,6,NA,NA,NA,NA,4,5,7,6,5,6,6,4,NA,NA,NA,NA,NA,NA,6,6,6,6,5,6,6,NA,NA,6,5,6,6,6,6,5,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,70,85,63,77,"2020","2021",4.8,4,5.6,4,2,4.6,4.6,4.1,75,0,0,1,1,0,6
"408","P_5iQh71VpXCEqgux","P_1Y7SseCxK6omF4F","Peer","R_AzyHlFLltXS99jX","9/24/20 13:50","9/24/20 14:09",6.727272727,6.75,6.2,7,6.5,6.333333333,6.6,6,6,7,6,6,2,6,6,1,2,2,2,1,6,6,6,1,5,2,5,7,5,6,6,6,6,6,5,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,7,6,7,7,6,7,7,NA,NA,NA,5,7,6,6,7,7,NA,NA,NA,NA,NA,7,7,7,5,NA,5,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,NA,NA,6,7,7,7,7,7,7,6,NA,NA,NA,NA,NA,NA,7,7,7,NA,5,6,7,NA,NA,6,6,7,7,7,6,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,95,90,90,"2020","2021",6,4.42857142857143,6.2,3.75,1.75,6,6,6,91,0,0,1,1,0,6
"409","P_cNQ1yF7ySfiDsbP","P_1Y7SseCxK6omF4F","Peer","R_1E0f91zQrTjRK7e","9/8/20 15:58","9/28/20 7:28",6.4,6.875,7,NA,6.2,6,6.111111111,6,6,6,6,6,4,4,6,2,2,2,2,1,7,6,6,4,6,4,6,7,7,6,7,4,4,7,4,7,7,6,6,6,6,6,4,7,4,4,7,7,4,7,4,4,6,6,7,NA,7,6,6,6,6,7,7,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,6,7,7,7,NA,NA,NA,NA,NA,NA,6,7,7,NA,5,6,NA,NA,NA,6,5,7,7,5,6,5,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,86,95,99,96,"2020","2021",6.2,5.57142857142857,6,4,1.75,6.6,5.2,5.2,92.2,0,0,1,1,0,6
"410","P_29w2qGrD7eRB4SF","P_1Y7SseCxK6omF4F","Manager","R_3rTDMeIkPiSZVkb","9/8/20 17:14","9/10/20 10:35",5.9,6.125,6.2,6.4,6.6,6.6,6.875,6,4,6,6,6,2,5,4,2,2,4,1,1,6,7,4,2,5,1,5,6,7,6,6,6,7,6,4,6,7,7,7,7,6,5,6,6,6,6,6,6,6,7,6,5,5,NA,7,5,7,6,6,5,5,7,6,NA,NA,NA,7,6,7,NA,7,6,NA,NA,NA,NA,NA,6,6,7,NA,6,6,NA,NA,NA,NA,NA,NA,7,6,6,NA,NA,7,6,NA,NA,NA,NA,6,6,6,6,7,7,6,5,NA,NA,NA,NA,NA,NA,7,6,7,NA,NA,7,6,NA,NA,7,NA,7,7,7,6,7,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,90,90,90,"2020","2021",6.2,4.28571428571429,5.6,3.25,2,6.4,6,6,86,0,0,1,1,0,6
"411","P_0P9b3LQxAizUvMF","P_1Y7SseCxK6omF4F","Peer","R_2q4qC0mSdmkAg7c","9/16/20 16:38","9/16/20 18:33",6,6.125,6.25,7,6.714285714,6,6.3,7,6,6,5,7,3,6,6,3,3,4,3,2,5,5,6,3,4,5,5,5,5,4,4,4,4,6,4,6,6,6,4,6,5,4,4,5,4,5,5,6,4,5,6,4,6,6,7,5,6,6,6,5,6,7,6,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,6,6,7,NA,NA,6,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,NA,NA,NA,NA,6,6,6,7,6,6,6,6,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,6,NA,NA,7,6,7,7,6,6,7,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,70,100,90,85,"2020","2021",4.4,4.71428571428571,6.2,4.5,3,5.8,4.4,4.8,85.2,0,0,1,1,0,6
"412","P_1yTjdOe1kXAmL6l","P_1yTjdOe1kXAmL6l","Self","R_2aFuXaRXswe17a0","9/10/20 6:32","9/24/20 13:50",4.333333333,5,4.125,5.875,6,3.75,5.384615385,5,3,7,5,3,5,5,5,5,3,4,4,3,3,4,3,2,5,2,4,6,5,3,3,3,2,3,3,4,3,5,5,5,5,3,2,2,1,6,4,5,2,6,5,6,3,4,5,6,3,4,5,4,NA,NA,2,5,6,5,NA,NA,6,3,NA,3,3,5,2,3,5,NA,NA,NA,NA,3,3,3,4,6,5,5,4,NA,6,5,7,NA,6,NA,6,5,5,7,NA,5,NA,NA,7,NA,NA,3,7,4,5,7,4,3,7,7,NA,5,NA,5,6,5,7,3,NA,6,NA,NA,NA,NA,NA,5,4,7,6,6,6,7,3,5,6,6,71,77,84,67,75,"2020","2022",4,3.28571428571429,4.6,5,3.5,4,3.6,3.9,74.8,1,0,1,0,1,7
"413","P_09dGJXh0xlC8UGF","P_1yTjdOe1kXAmL6l","Learning Teammate","R_10DwBuMrpzN6DyQ","9/13/20 12:24","9/27/20 16:59",5.916666667,5.555555556,6.625,6.375,5.142857143,6.285714286,6.153846154,6,6,7,7,6,3,6,5,2,4,2,2,2,7,6,7,3,7,4,5,7,6,6,6,6,7,7,6,7,7,6,5,6,5,7,6,5,7,7,7,6,7,7,7,4,5,7,5,7,5,6,6,6,NA,NA,7,6,5,6,NA,NA,5,7,NA,7,5,NA,7,7,6,NA,NA,NA,NA,6,7,7,7,7,6,6,7,NA,7,7,6,NA,5,NA,6,6,7,7,NA,6,NA,NA,7,NA,NA,3,7,5,5,6,7,4,5,7,NA,5,NA,4,7,4,4,6,NA,7,NA,NA,NA,NA,NA,7,7,5,4,7,7,4,5,7,7,7,82,97,60,72,90,"2020","2022",6.2,5.57142857142857,6.4,4,2.5,6.4,6.2,6.3,80.2,0,0,1,0,1,7
"414","P_6xRx50Fhbwc7DLL","P_1yTjdOe1kXAmL6l","Learning Teammate","R_28A2DFJZ6pxjhVY","9/28/20 18:08","9/28/20 18:36",6.25,6.222222222,6,6,6.285714286,6,6.166666667,6,6,6,6,6,4,6,6,4,4,4,5,2,4,6,4,4,6,4,4,7,7,6,6,4,4,6,6,6,7,6,6,6,7,6,3,4,6,6,6,NA,4,6,5,4,5,6,6,7,5,6,6,6,NA,NA,7,7,7,7,NA,NA,6,5,NA,NA,6,6,6,NA,7,NA,NA,NA,NA,NA,NA,6,NA,6,NA,6,NA,NA,6,6,6,NA,6,NA,7,6,6,5,NA,6,NA,NA,7,NA,NA,5,6,7,5,7,7,6,6,7,NA,7,NA,5,6,6,7,6,NA,6,NA,NA,NA,NA,NA,6,6,6,5,7,6,6,6,NA,7,7,80,71,95,96,90,"2020","2022",6,4.57142857142857,6,5,3.75,6.4,5.6,4.88888888888889,86.4,0,0,1,0,1,7
"415","P_9nQn36LWGrok0Nn","P_1yTjdOe1kXAmL6l","Learning Teammate","R_2uJP4yNagChSY66","9/9/20 22:05","9/27/20 20:09",6.583333333,5.888888889,5.333333333,6.625,6.666666667,5.625,6.583333333,6,5,7,4,5,2,4,5,3,2,1,1,3,6,2,5,2,2,2,5,7,6,7,6,6,3,3,3,5,5,6,6,7,5,3,6,7,6,7,6,7,2,6,7,2,6,7,7,6,6,6,7,6,NA,NA,7,7,7,7,NA,NA,6,4,NA,5,6,5,6,7,6,NA,NA,NA,NA,NA,5,6,NA,NA,NA,5,NA,NA,7,7,7,NA,7,NA,6,7,7,5,NA,6,NA,NA,7,NA,NA,4,6,6,5,5,7,7,7,7,NA,6,NA,6,NA,7,7,6,NA,7,NA,NA,NA,NA,NA,6,6,6,6,7,7,NA,7,7,7,7,85,80,85,80,85,"2020","2022",6.4,3.42857142857143,5.4,3.5,1.75,5,4.2,5.6,83,0,0,1,0,1,7
